Date,Open,High,Low,Close,Adj Close,Volume
2014-04-04,453.750000,457.250000,451.587006,453.274994,407.269653,2009040
2014-04-07,451.500000,452.737000,446.750000,448.250000,402.754669,1867688
2014-04-09,449.000000,451.750000,433.125000,434.437988,390.344543,6646300
2014-04-10,434.437988,434.500000,425.000000,427.049988,383.706360,6020084
2014-04-11,425.000000,437.475006,419.087006,434.888000,390.748871,9009652
2014-04-15,436.250000,442.750000,433.299988,441.049988,396.285431,5604608
2014-04-16,442.500000,444.250000,434.763000,437.649994,393.230530,3022520
2014-04-17,437.500000,445.187988,436.250000,442.950012,397.992615,2343092
2014-04-21,447.487000,448.325012,441.888000,443.500000,398.486755,2115596
2014-04-22,442.750000,447.000000,441.537994,443.424988,398.419373,2232556
2014-04-23,441.250000,446.500000,438.875000,441.250000,396.465149,3186596
2014-04-24,441.250000,441.250000,441.250000,441.250000,396.465149,0
2014-04-25,438.000000,453.000000,437.250000,451.187988,405.394470,2664884
2014-04-28,453.500000,459.700012,449.375000,456.312012,409.998413,2686628
2014-04-29,456.750000,464.750000,451.924988,461.575012,414.727295,3228552
2014-04-30,459.412994,464.500000,455.000000,458.037994,411.549255,2315740
2014-05-02,457.500000,462.500000,455.024994,459.399994,412.773010,1522832
2014-05-05,458.750000,461.912994,452.649994,455.000000,408.819550,1680004
2014-05-06,452.549988,455.500000,445.600006,450.350006,404.641541,1698704
2014-05-07,449.500000,451.250000,431.662994,434.112000,390.051636,2861884
2014-05-08,433.250000,440.000000,431.662994,436.325012,392.040039,2097408
2014-05-09,433.750000,445.975006,433.750000,444.112000,399.036682,1520704
2014-05-12,444.750000,450.000000,441.524994,448.600006,403.069153,2550420
2014-05-13,450.000000,458.625000,449.024994,455.638000,409.392822,2272692
2014-05-14,457.500000,463.000000,450.000000,459.399994,412.773010,2603540
2014-05-15,460.562012,468.274994,453.649994,457.562012,411.121582,4349324
2014-05-16,461.250000,465.000000,441.263000,455.638000,409.392822,9898872
2014-05-19,459.000000,459.000000,432.662994,434.687988,390.569122,21047348
