Date,Open,High,Low,Close,Adj Close,Volume
2014-06-03,376.000000,379.618988,371.843994,377.149994,273.960510,6824936
2014-06-04,376.875000,378.419006,369.187988,373.062012,270.991028,5508008
2014-06-05,375.000000,383.549988,370.250000,380.144012,276.135376,12153720
2014-06-06,375.019012,376.250000,368.750000,375.381012,272.675568,16882424
2014-06-09,375.750000,376.875000,372.013000,373.306000,271.168243,10858344
2014-06-10,375.000000,386.149994,374.544006,384.394012,279.222534,10479176
2014-06-11,388.125000,407.156006,386.294006,399.169006,289.955078,20375704
2014-06-12,410.000000,412.131012,390.087006,396.881012,288.293091,21128856
2014-06-13,398.562012,400.875000,391.381012,398.375000,289.378296,10151744
2014-06-16,398.250000,407.462006,397.500000,405.519012,294.567719,9375328
2014-06-17,406.125000,408.375000,402.319000,405.855988,294.812469,10079392
2014-06-18,405.625000,409.375000,401.593994,405.062012,294.235748,9791280
2014-06-19,405.730988,415.375000,405.638000,413.987000,300.718842,11313704
2014-06-20,415.000000,417.424988,411.605988,414.575012,301.145905,8853000
2014-06-23,412.500000,413.618988,402.681000,404.069000,293.514435,6328112
2014-06-24,403.750000,404.362000,399.019012,400.475006,290.903748,10638024
2014-06-25,405.625000,405.625000,400.750000,401.406006,291.580017,6433520
2014-06-26,402.500000,404.375000,396.093994,397.812012,288.969391,7376552
2014-06-27,400.000000,404.450012,396.500000,402.924988,292.683411,6890744
2014-06-30,402.500000,407.875000,401.424988,406.944000,295.602814,7290576
2014-07-01,405.625000,406.850006,400.750000,402.631012,292.469849,4662512
2014-07-02,401.500000,405.450012,399.774994,401.912994,291.948303,6119632
2014-07-03,401.274994,403.549988,398.812012,401.337006,291.529938,7504912
2014-07-04,400.006012,407.299988,400.006012,405.743988,294.731110,5752968
2014-07-07,408.125000,421.000000,407.500000,418.181000,303.765289,11638312
2014-07-08,418.625000,425.794006,412.881012,417.769012,303.466064,11460480
2014-07-09,416.250000,423.000000,411.250000,413.794006,300.578613,8270752
2014-07-10,414.375000,422.712006,406.325012,411.587006,298.975433,11345616
2014-07-11,425.174988,429.000000,412.544006,415.830994,302.058289,15826360
2014-07-14,414.375000,414.375000,398.225006,403.156006,292.851257,8231600
2014-07-15,404.875000,407.243988,402.131012,403.205994,292.887543,4139800
2014-07-16,405.000000,405.625000,400.406006,403.700012,293.246368,4589488
2014-07-17,407.513000,418.237000,403.955994,404.912994,294.127502,4946672
2014-07-18,406.625000,409.337006,405.450012,406.444000,295.239594,4098368
2014-07-21,406.875000,409.169006,398.513000,400.087006,290.621887,7435968
2014-07-22,400.625000,405.837006,399.756012,404.212006,293.618286,8733360
2014-07-23,406.125000,419.375000,406.125000,418.681000,304.128479,11827336
2014-07-24,418.000000,424.375000,415.181000,422.781006,307.106781,5571560
2014-07-25,424.875000,424.875000,413.087006,419.024994,304.378387,5337672
2014-07-28,418.125000,423.375000,415.105988,421.388000,306.094879,4601448
2014-07-30,424.250000,424.250000,418.200012,421.524994,306.194366,9934720
2014-07-31,422.500000,424.362000,417.899994,420.955994,305.781097,8457168
2014-08-01,418.750000,424.000000,416.250000,417.662994,303.389099,7607008
2014-08-04,419.375000,435.362000,418.662994,433.194000,314.670715,13086960
2014-08-05,434.500000,440.000000,433.756012,439.125000,318.979004,10985624
2014-08-06,440.625000,451.044006,440.625000,446.980988,324.685547,18004184
2014-08-07,437.375000,443.049988,435.294006,438.419006,318.466125,7754224
2014-08-08,437.500000,440.000000,434.375000,435.330994,316.223022,3811352
2014-08-11,440.500000,447.962006,438.750000,446.687988,324.472687,5628672
2014-08-12,449.875000,449.875000,442.625000,447.100006,324.772003,5916936
2014-08-13,445.006012,453.125000,443.843994,451.049988,327.641266,8941360
2014-08-14,451.000000,453.462006,448.325012,451.569000,328.018311,6762480
2014-08-18,451.500000,451.500000,443.750000,444.975006,323.228394,6777888
2014-08-19,445.125000,448.625000,441.250000,443.475006,322.138794,6424824
2014-08-20,445.375000,447.812012,443.375000,444.319000,322.751892,3938224
2014-08-21,444.531006,445.424988,441.250000,443.618988,322.243378,4298880
2014-08-22,443.618988,451.000000,443.500000,450.125000,326.969360,4855040
2014-08-25,449.875000,454.462006,445.256012,453.475006,329.402740,4198352
2014-08-26,452.750000,455.000000,450.000000,453.019012,329.071533,5842128
2014-08-27,453.750000,456.250000,450.138000,453.819000,329.652649,5569872
2014-08-28,453.625000,454.205994,447.649994,449.850006,326.769592,7599304
2014-09-01,451.256012,452.362000,448.125000,449.955994,326.846588,3643152
2014-09-02,450.000000,453.125000,444.444000,451.718994,328.127197,3583832
2014-09-03,451.250000,468.299988,451.250000,466.781006,339.068207,11857560
2014-09-04,465.625000,465.625000,462.230988,463.593994,336.753174,6238464
2014-09-05,466.500000,474.375000,463.169006,466.343994,338.750793,6468352
