Date,Open,High,Low,Close,Adj Close,Volume
2014-06-27,270.000000,274.500000,268.149994,272.975006,247.659454,3740910
2014-06-30,274.475006,276.500000,271.825012,273.200012,247.863586,2863972
2014-07-01,273.950012,273.950012,268.000000,269.100006,244.143814,2816852
2014-07-02,271.000000,274.325012,269.200012,270.424988,245.345901,3225646
2014-07-03,273.500000,279.024994,272.075012,277.750000,251.991653,4482934
2014-07-04,279.750000,279.774994,271.950012,273.375000,248.022339,2276124
2014-07-07,274.500000,279.500000,274.500000,278.799988,252.944275,3915098
2014-07-08,279.000000,279.424988,274.000000,274.875000,249.383224,2587426
2014-07-09,274.625000,277.450012,270.649994,272.649994,247.364578,1961562
2014-07-10,273.000000,279.000000,270.000000,272.375000,247.115097,3311416
2014-07-11,275.174988,278.350006,273.524994,276.424988,250.789474,3061658
2014-07-14,276.000000,277.500000,268.500000,269.399994,244.416000,2826044
2014-07-15,269.075012,271.200012,267.100006,267.924988,243.077759,1875858
2014-07-16,269.850006,269.850006,266.375000,267.649994,242.828293,1765946
2014-07-17,267.924988,272.325012,267.000000,268.674988,243.758194,3314542
2014-07-18,272.549988,277.500000,272.100006,273.524994,248.158417,7080492
2014-07-21,275.024994,276.700012,271.250000,272.475006,251.808853,4034458
2014-07-22,272.075012,280.500000,271.299988,279.375000,258.185516,3732192
2014-07-23,279.750000,286.350006,277.200012,285.450012,263.799774,4464760
2014-07-24,287.000000,290.000000,280.799988,288.424988,266.549072,6003798
2014-07-25,265.000000,277.500000,265.000000,275.524994,254.627502,14185014
2014-07-28,276.075012,279.399994,272.500000,278.524994,257.399994,3365438
2014-07-30,278.450012,278.549988,274.500000,275.375000,254.488846,3916576
2014-07-31,275.024994,275.500000,270.524994,272.200012,251.554718,7137242
2014-08-01,272.000000,273.075012,267.500000,268.000000,247.673248,3435046
2014-08-04,268.100006,275.000000,268.000000,274.325012,253.518539,5137948
2014-08-05,274.899994,275.825012,271.875000,274.774994,253.934387,2102338
2014-08-06,272.899994,276.274994,272.899994,275.700012,254.789261,3802934
2014-08-07,273.500000,277.250000,267.500000,276.325012,255.366882,4383066
2014-08-08,275.450012,275.799988,270.549988,274.024994,253.241272,1985938
2014-08-11,275.100006,275.250000,270.100006,271.475006,250.884720,2638586
2014-08-12,272.500000,272.750000,270.549988,271.875000,251.254333,2352532
2014-08-13,271.549988,275.774994,271.350006,275.125000,254.257874,2668868
2014-08-14,275.850006,276.049988,271.750000,272.975006,252.270935,2198628
2014-08-18,272.500000,274.350006,270.575012,273.825012,253.056458,2403474
2014-08-19,273.399994,276.200012,272.000000,273.700012,252.940964,2358146
2014-08-20,273.700012,277.500000,273.700012,276.075012,255.135803,2232536
2014-08-21,275.700012,276.950012,273.850006,275.575012,254.673721,2466098
2014-08-22,275.625000,279.024994,274.149994,278.475006,257.353729,2883342
2014-08-25,278.575012,280.600006,277.024994,277.674988,256.614410,3148032
2014-08-26,279.350006,280.125000,273.075012,275.450012,254.558212,2490982
2014-08-27,274.000000,280.399994,274.000000,279.274994,258.093140,2898110
2014-08-28,279.274994,284.024994,279.274994,282.625000,261.189026,6139666
2014-09-01,283.000000,286.524994,281.774994,282.924988,261.466309,2166120
2014-09-02,283.500000,283.825012,279.549988,280.500000,259.225189,2727504
2014-09-03,281.975006,290.000000,280.149994,288.600006,266.710846,5666786
2014-09-04,289.975006,291.174988,286.049988,288.575012,266.687744,2601816
2014-09-05,290.500000,291.899994,287.750000,290.950012,268.882599,2290286
2014-09-08,291.450012,297.500000,289.024994,296.350006,273.873016,2472052
2014-09-09,296.524994,297.000000,290.950012,294.000000,271.701294,1646412
2014-09-10,294.000000,295.000000,290.250000,290.825012,268.767120,1988324
2014-09-11,292.500000,293.399994,285.825012,287.000000,265.232178,2693940
